project,github_repo,github_url,local_commit_count,path
bindery,binderyussy,https://github.com/mojomast/binderyussy,1,/home/mojo/builds/bindery
biofilm,biofilmussy,https://github.com/mojomast/biofilmussy,1,/home/mojo/builds/biofilm
blooma,bloomaussy,https://github.com/mojomast/bloomaussy,1,/home/mojo/builds/blooma
bloom,bloomussy,https://github.com/mojomast/bloomussy,1,/home/mojo/builds/bloom
bolusa,bolusaussy,https://github.com/mojomast/bolusaussy,1,/home/mojo/builds/bolusa
bonsai,bonsaiussy,https://github.com/mojomast/bonsaiussy,1,/home/mojo/builds/bonsai
boustro,boustroussy,https://github.com/mojomast/boustroussy,1,/home/mojo/builds/boustro
calcara,calcaraussy,https://github.com/mojomast/calcaraussy,1,/home/mojo/builds/calcara
caldera,calderaussy,https://github.com/mojomast/calderaussy,1,/home/mojo/builds/caldera
calibre,calibreussy,https://github.com/mojomast/calibreussy,1,/home/mojo/builds/calibre
cambium,cambiumussy,https://github.com/mojomast/cambiumussy,1,/home/mojo/builds/cambium
capilla,capillaussy,https://github.com/mojomast/capillaussy,1,/home/mojo/builds/capilla
capstan,capstanussy,https://github.com/mojomast/capstanussy,1,/home/mojo/builds/capstan
carboxa,carboxaussy,https://github.com/mojomast/carboxaussy,1,/home/mojo/builds/carboxa
cartographer,cartographerussy,https://github.com/mojomast/cartographerussy,1,/home/mojo/builds/cartographer
cartouche,cartoucheussy,https://github.com/mojomast/cartoucheussy,1,/home/mojo/builds/cartouche
catenaria,catenariaussy,https://github.com/mojomast/catenariaussy,1,/home/mojo/builds/catenaria
cavity,cavityussy,https://github.com/mojomast/cavityussy,1,/home/mojo/builds/cavity
celestial,celestialussy,https://github.com/mojomast/celestialussy,1,/home/mojo/builds/celestial
cerumina,ceruminaussy,https://github.com/mojomast/ceruminaussy,1,/home/mojo/builds/cerumina
chainlet,chainletussy,https://github.com/mojomast/chainletussy,1,/home/mojo/builds/chainlet
chargeguard,chargeguardussy,https://github.com/mojomast/chargeguardussy,1,/home/mojo/builds/chargeguard
chloro,chloroussy,https://github.com/mojomast/chloroussy,1,/home/mojo/builds/chloro
choreo,choreoussy,https://github.com/mojomast/choreoussy,1,/home/mojo/builds/choreo
chromascript,chromascriptussy,https://github.com/mojomast/chromascriptussy,1,/home/mojo/builds/chromascript
chromato,chromatoussy,https://github.com/mojomast/chromatoussy,1,/home/mojo/builds/chromato
chunk,chunkussy,https://github.com/mojomast/chunkussy,1,/home/mojo/builds/chunk
circadia,circadiaussy,https://github.com/mojomast/circadiaussy,1,/home/mojo/builds/circadia
circlera,circleraussy,https://github.com/mojomast/circleraussy,1,/home/mojo/builds/circlera
citewise,citewiseussy,https://github.com/mojomast/citewiseussy,1,/home/mojo/builds/citewise
cladwise,cladwiseussy,https://github.com/mojomast/cladwiseussy,1,/home/mojo/builds/cladwise
clavis,clavisussy,https://github.com/mojomast/clavisussy,1,/home/mojo/builds/clavis
clofora,cloforaussy,https://github.com/mojomast/cloforaussy,1,/home/mojo/builds/clofora
commonsa,commonsaussy,https://github.com/mojomast/commonsaussy,1,/home/mojo/builds/commonsa
composta,compostaussy,https://github.com/mojomast/compostaussy,1,/home/mojo/builds/composta
condorcet,condorcetussy,https://github.com/mojomast/condorcetussy,1,/home/mojo/builds/condorcet
controla,controlaussy,https://github.com/mojomast/controlaussy,1,/home/mojo/builds/controla
coroner,coronerussy,https://github.com/mojomast/coronerussy,1,/home/mojo/builds/coroner
crackwise,crackwiseussy,https://github.com/mojomast/crackwiseussy,1,/home/mojo/builds/crackwise
critica,criticaussy,https://github.com/mojomast/criticaussy,1,/home/mojo/builds/critica
cryora,cryoraussy,https://github.com/mojomast/cryoraussy,1,/home/mojo/builds/cryora
crystallo,crystallossy,https://github.com/mojomast/crystallossy,1,/home/mojo/builds/crystallo
curator,curatorussy,https://github.com/mojomast/curatorussy,1,/home/mojo/builds/curator
